Code,Timestamp,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Friendly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,Extraversion,Motivation,Training,Amicability,Neuroticism,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Duration,Outcome,Label
10-45-LE,2020-12-08 15:26:19,3,3,3,1,3,1,,3,2,3,3,3,,5,6,4,5,6,5,,6,6,6,6,6,,3,3,3,3,,0.12089810017271158,0.14507772020725387,0.26770293609671847,0.31088082901554404,0.15544041450777202,2020-10-05 00:00:00,Eddie,Alison,2019-03-18 00:00:00,M,GDBUK,GD,2021-06-11 00:00:00,LR,,249 days,Success,2.0
11-02-IM,2020-01-21 08:54:40,4,4,4,3,4,3,,3,3,3,3,3,,4,3,3,3,3,3,,3,5,6,3,4,,2,2,2,2,,0.22448979591836735,0.1836734693877551,0.19387755102040816,0.2755102040816327,0.12244897959183675,2019-11-04 00:00:00,Meeko,DSM,2018-08-25 00:00:00,M,IGDB,W,2020-05-29 00:00:00,LR,,207 days,Fail,0.0
11-11-IK,2020-01-16 11:01:37,5,5,6,5,5,5,,4,4,2,4,4,,4,4,6,4,4,5,,3,5,5,3,5,,2,2,2,2,,0.26138279932546377,0.18212478920741992,0.22765598650927488,0.22765598650927488,0.10118043844856661,2019-11-12 00:00:00,Kain,Mags,2018-08-02 00:00:00,M,IGDB,AD,2020-07-15 00:00:00,LRxGR,,246 days,Success,1.0
11-24-IK,2020-01-28 13:26:56,2,2,2,2,2,2,,3,3,3,3,3,,5,4,6,5,5,5,,4,5,5,5,5,,2,2,2,2,,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.11764705882352941,2019-11-20 00:00:00,Kaiser,Graham,2018-08-02 00:00:00,M,IGDB,GD,2020-07-20 00:00:00,LRxGR,,243 days,Success,2.0
11-25-IJ,2020-01-28 13:31:36,4,4,4,4,4,3,,5,5,5,2,2,,4,3,5,4,4,5,,5,5,6,5,5,,5,5,5,5,,0.17384731670445958,0.17233560090702946,0.1889644746787604,0.23809523809523808,0.22675736961451246,2019-11-20 00:00:00,Jessie,Graham,2018-07-03 00:00:00,F,IGDB,GD,2020-07-31 00:00:00,LR,,254 days,Success,2.0
11-26-IL,2020-01-25 09:02:23,4,3,4,2,3,4,,2,3,2,2,2,,5,4,6,4,3,5,,2,6,6,5,6,,3,4,3,3,,0.17513134851138357,0.11558669001751315,0.2364273204903678,0.3021015761821366,0.17075306479859897,2019-11-19 00:00:00,Lexie,DSM,2018-08-17 00:00:00,F,IGDB,AD,2020-07-20 00:00:00,LR,,244 days,Success,1.0
11-27-II,2020-01-25 09:05:33,3,3,3,3,3,3,,4,5,5,4,4,,2,3,5,2,3,3,,4,5,6,5,5,,2,3,2,3,,0.1652892561983471,0.24242424242424246,0.1652892561983471,0.2892561983471075,0.13774104683195593,2019-11-18 00:00:00,Illana,DSM,2018-06-28 00:00:00,F,IGDB,AD,2020-07-15 00:00:00,LRxGR,,240 days,Success,1.0
11-28-IZ,2020-01-28 13:30:47,5,5,4,3,4,4,,4,4,3,4,4,,4,4,5,4,4,4,,3,3,5,3,4,,4,2,2,2,Fearful of certain dogs leading to reactive behaviour ,0.22665457842248415,0.20670897552130552,0.22665457842248415,0.20398912058023572,0.1359927470534905,2019-11-18 00:00:00,Zander,Rose,2018-10-19 00:00:00,M,Cesecah,W,2020-03-10 00:00:00,LR,,113 days,Fail,0.0
11-40-LZ,2021-01-19 13:50:50,3,3,5,6,6,6,Very Anxious dog- separation anxiety is very bad also  ,4,4,1,2,3,Very motivated when he is in a right state of mind ,5,3,6,3,2,4,Easy to train but is a very stressy dog so find every situation hard to deal with ,2,3,3,1,1,Needs to be with someone all the time,2,3,3,3,"Not really, knows his own mind but is scared of knew environments ",0.2980472764645426,0.1726618705035971,0.23638232271325796,0.12332990750256936,0.16957862281603286,2020-11-04 00:00:00,Zeplin,Frances,2019-07-13 00:00:00,M,Private breeder,W,2021-02-02 00:00:00,GRxPoodle,,90 days,Fail,0.0
11-41-LZ,2021-01-19 13:55:19,3,4,6,3,4,1,Likes being with people but enjoys to play with other dogs and his toys,5,4,5,5,5,Food motivates him but does enjoy to train for a reward of play ,3,3,4,3,5,4,"Training him needs to be all about Ziggy and ask him to do everything and make it a game. Very lovable, but really knows his own mind ",6,6,6,6,6,Very easy to be around and to bring to a social setting ,2,2,2,2,Is a confident fella so doesnt get bothered by too much ,0.17529215358931552,0.24040066777963268,0.18363939899833054,0.30050083472454087,0.10016694490818029,2020-11-04 00:00:00,Ziggy,UK PR,2019-04-29 00:00:00,M,GDBUK,GD,2021-05-07 00:00:00,LRxGR,,184 days,Success,2.0
11-42-LE,2021-01-19 13:58:43,6,6,6,5,6,4,So lovable and so easy to be around as he loves to play and learn ,3,5,2,3,3,"Very motivated and wants to always do the right thing, loves to please. ",5,5,5,6,6,6,Extremely easy to train. loves to work  ,6,6,6,4,6,Lovely dog but suffers alot from seperation anxiety and can cause him to get very stressed if left alone in an unknown environment ,3,3,3,3,Can scare very easily to large noise or unusual object,0.2422907488986784,0.14096916299559473,0.2422907488986784,0.2422907488986784,0.13215859030837004,2020-11-04 00:00:00,Ezra,UK PR,2019-05-04 00:00:00,M,GDBUK,GD,2021-05-21 00:00:00,LRxGR,,198 days,Success,2.0
11-42-LT,2021-01-15 16:16:03,3,3,3,1,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,5,5,6,5,5,,2,2,2,2,,0.16753926701570682,0.18848167539267016,0.18848167539267016,0.3298429319371728,0.1256544502617801,2020-11-10 00:00:00,Thor,Graham,2019-05-23 00:00:00,M,IGDB,AD,2021-07-28 00:00:00,LRxGR,,260 days,Success,1.0
11-43-LB,2021-01-19 14:06:09,3,3,4,3,4,4,Very lovable dog and easy going but knows her own mind and doesnt enjoy the work as much as others,3,3,3,3,3,Very little motivates her but she does take treats and toys,3,3,3,4,5,4,Trainning can be hard as not alot motivates her to perform her task ,5,5,5,6,6,Very easy to socialise and is very friendly and easy to be around ,2,2,2,2,She knows her own mind and enjoys to be with other dogs than people ,0.19811320754716985,0.169811320754717,0.20754716981132076,0.3113207547169812,0.11320754716981134,2020-11-04 00:00:00,Bubbles,UK PR,2018-10-04 00:00:00,F,GDBUK,GD,2021-05-07 00:00:00,LRxGR,,184 days,Success,2.0
11-43-LT,2021-01-15 16:27:27,4,3,3,2,3,2,,2,3,3,3,3,,4,4,4,5,5,5,,5,6,6,5,5,,1,1,4,4,,0.15625,0.15441176470588236,0.24816176470588236,0.3033088235294118,0.13786764705882354,2020-11-10 00:00:00,Tessa,Rose,2019-05-23 00:00:00,F,IGDB,GD,2021-12-10 00:00:00,LRxGR,,395 days,Success,2.0
11-44-LY,2021-01-15 17:14:24,6,6,5,4,5,6,,4,4,4,4,4,,5,4,5,4,4,5,,5,6,1,3,6,,1,1,2,2,,0.27586206896551724,0.20689655172413796,0.2327586206896552,0.20689655172413796,0.07758620689655173,2020-11-10 00:00:00,Yeska,Frances,2019-09-25 00:00:00,F,IGDB,GD,2021-05-21 00:00:00,LRxGR,,192 days,Success,2.0
11-44-LZ,2021-01-15 15:56:12,4,4,4,2,3,2,,3,4,3,4,4,,4,4,4,4,3,4,,4,6,6,4,6,,1,1,2,2,,0.1799242424242424,0.20454545454545453,0.2178030303030303,0.3125,0.08522727272727272,2020-11-10 00:00:00,Zeeno,Diana,2019-07-13 00:00:00,M,Private breeder,GD,2021-09-17 00:00:00,GRxPoodle,,311 days,Success,2.0
11-45-LZ,2021-01-15 17:19:53,5,5,5,4,4,3,,4,4,4,4,4,,4,3,3,3,3,4,,4,6,6,4,6,,1,1,2,2,,0.23214285714285715,0.2142857142857143,0.1785714285714286,0.2946428571428572,0.08035714285714286,2020-11-10 00:00:00,Zarley,Frances,2019-09-01 00:00:00,M,Private breeder,GD,2021-07-07 00:00:00,LR,,239 days,Success,2.0
11-51-LR,2021-02-01 14:25:48,4,4,3,1,3,1,Generally calm but can become excited by dogs/people being OTT,3,5,4,5,4,,3,3,5,3,3,4,,3,4,6,4,5,,1,1,3,1,Can be submissive to some dogs,0.160481444332999,0.25275827482447344,0.21063189568706117,0.28585757271815443,0.09027081243731193,2020-11-20 00:00:00,Rainbow,UK PR,2019-06-09 00:00:00,F,GDBUK,GD,2021-07-30 00:00:00,LR,,252 days,Success,2.0
11-52-LC,2021-02-01 14:31:47,3,2,3,1,3,1,,2,2,3,3,2,,2,2,2,2,2,3,,4,5,3,4,5,"Some fear based aggression shown once when passing dogs aggressively barking in a home and once passing a cat ( Hackles up, barking, hard to refocus)",2,1,4,3,,0.16069221260815822,0.17799752781211373,0.16069221260815822,0.3152039555006181,0.1854140914709518,2020-11-20 00:00:00,Clay,UK PR,2019-05-03 00:00:00,M,GDBUK,W,2021-04-29 00:00:00,LR,,160 days,Fail,0.0
11-53-LD,2021-02-01 14:33:46,5,5,4,2,3,3,,3,4,2,4,3,,3,5,4,4,4,5,,2,5,6,2,5,,1,1,3,2,,0.2121504339440694,0.18514946962391512,0.24108003857280616,0.26036644165863065,0.10125361620057859,2020-11-20 00:00:00,Dora,UK PR,2019-06-23 00:00:00,F,GDBUK,GD,2021-06-17 00:00:00,LR,,209 days,Success,2.0
11-54-LP,2021-02-01 14:35:56,5,5,4,2,4,3,,2,5,3,4,4,,5,5,5,5,5,5,,3,6,6,2,5,,2,2,2,2,Can be above on rare occasions,0.1998262380538662,0.18766290182450043,0.26064291920069504,0.2476107732406603,0.10425716768027801,2020-11-26 00:00:00,Piper,UK PR,2019-04-20 00:00:00,F,GDBUK,GD,2021-06-17 00:00:00,LR,,203 days,Success,2.0
11-61-LJ,2021-02-10 18:18:13,2,2,2,1,2,2,"He can have excitable moments, but is largely laid back and a bit lazy.",2,4,5,3,2,Generally low distraction,4,3,5,4,3,3,"Fairly naturally gifted, but needs motivation",5,4,6,5,3,"A bit of a loner, particularly with the other dogs.",2,2,2,2,,0.1206140350877193,0.2105263157894737,0.2412280701754386,0.2960526315789474,0.13157894736842105,2020-11-30 00:00:00,John,UK PR,2018-11-26 00:00:00,M,GDBUK,GD,2021-08-25 00:00:00,LRxGR,,268 days,Success,2.0
11-62-LS,2021-02-10 18:21:49,5,5,4,2,5,4,,3,2,3,4,2,,4,4,5,4,4,4,Bond was required; very hard to work with at first.,3,5,5,2,5,Can be overly excitable at times ,4,5,5,4,Suss reactions seen to some items. Body sense. Some distrust of handler.,0.2095557418273261,0.14082145850796313,0.2095557418273261,0.2137468566638726,0.22632020117351215,2020-12-01 00:00:00,Saffron,UK PR,2019-06-06 00:00:00,F,GDBUK,GD,2021-08-20 00:00:00,LRxGR,,262 days,Success,2.0
11-63-LC,2021-02-10 18:26:14,5,5,5,5,5,6,Poss separation anxiety. Finds it very difficult to settle.,4,2,2,2,3,High dog distraction. Very hard to return to working focus. ,4,4,4,3,3,4,He is good outside of distractions or high excitability / unsettled. ,2,5,5,2,6,,5,6,3,3,Very anxious when left in kennels  / van on his own (no human present),0.2559867877786953,0.12881915772089184,0.18166804293971922,0.22295623451692814,0.21056977704376548,2020-12-02 00:00:00,Chhiri,UK PR,2019-04-20 00:00:00,F,GDBUK,W,2021-03-03 00:00:00,LRxGR,,91 days,Fail,0.0
11-64-LT,2021-02-10 18:30:16,5,5,5,4,6,3,"Very energetic and willing, but capable of settling and causes no trouble when left.",2,4,2,5,3,,6,5,4,5,5,5,"Very focussed on handler, only difficulties would be in presence of distractions. Needs to be shown first rather than always problem solving.",5,6,6,3,6,,2,1,2,1,"No fear reactions seen. Happy, confident little pup.",0.23789294817332202,0.1631265930331351,0.2548853016142736,0.2676295666949873,0.07646559048428207,2020-12-03 00:00:00,Toni,UK PR,2019-04-20 00:00:00,F,GDBUK,GD,2021-08-20 00:00:00,LR,,260 days,Success,2.0
12-01-LK,2020-02-28 17:11:34,4,4,3,2,4,3,,3,4,3,4,4,,5,5,5,5,4,6,,4,5,6,4,5,,2,2,2,2,,0.17605633802816903,0.19014084507042253,0.2640845070422535,0.2640845070422535,0.1056338028169014,2019-12-11 00:00:00,Kali,Graham,2018-08-02 00:00:00,F,IGDB,GD,2020-06-29 00:00:00,LRxGR,,201 days,Success,2.0
12-02-LM,2020-02-28 17:14:28,6,6,6,5,6,5,,3,4,2,4,4,,4,5,5,4,3,5,,2,5,5,2,5,,2,2,3,2,,0.28475711892797323,0.17085427135678394,0.21775544388609716,0.2135678391959799,0.11306532663316583,2019-12-09 00:00:00,Minnie,Rose,2018-08-25 00:00:00,F,IGDB,GD,2020-07-21 00:00:00,LR,,225 days,Success,2.0
12-03-LM,2020-02-26 13:33:16,4,4,4,3,3,3,,4,4,3,3,3,,5,4,5,5,5,5,,5,6,6,4,5,,2,1,2,3,,0.18437225636523266,0.1791044776119403,0.25460930640913076,0.276558384547849,0.10535557506584722,2019-12-09 00:00:00,Milo,Rose,2018-08-25 00:00:00,M,IGDB,AD,2020-08-24 00:00:00,LR,,259 days,Success,1.0
